1.14,127,2018-11-27,00:00
1.11,127,2018-11-27,01:00
1.12,127,2018-11-27,02:00
1.13,127,2018-11-27,03:00
1.13,127,2018-11-27,04:00
1.12,127,2018-11-27,05:00
1.14,127,2018-11-27,06:00
1.11,127,2018-11-27,07:00
1.15,127,2018-11-27,08:00
1.15,127,2018-11-27,09:00
1.11,127,2018-11-27,10:00
1.15,127,2018-11-27,11:00
1.12,127,2018-11-27,12:00
0.0,127,2018-11-27,13:00
0.0,127,2018-11-27,14:00
0.0,127,2018-11-27,15:00
0.0,127,2018-11-27,16:00
1.1,127,2018-11-27,17:00
1.11,127,2018-11-27,18:00
1.13,127,2018-11-27,19:00
1.14,127,2018-11-27,20:00
1.15,127,2018-11-27,21:00
1.15,127,2018-11-27,22:00
1.13,127,2018-11-27,23:00
