0.16,127,2018-11-02,00:00
0.19,127,2018-11-02,01:00
0.17,127,2018-11-02,02:00
0.19,127,2018-11-02,03:00
0.19,127,2018-11-02,04:00
0.19,127,2018-11-02,05:00
0.17,127,2018-11-02,06:00
0.17,127,2018-11-02,07:00
0.16,127,2018-11-02,08:00
0.18,127,2018-11-02,09:00
0.2,127,2018-11-02,10:00
0.18,127,2018-11-02,11:00
0.2,127,2018-11-02,12:00
0.0,127,2018-11-02,13:00
0.0,127,2018-11-02,14:00
0.0,127,2018-11-02,15:00
0.0,127,2018-11-02,16:00
0.0,127,2018-11-02,17:00
0.0,127,2018-11-02,18:00
0.2,127,2018-11-02,19:00
0.21,127,2018-11-02,20:00
0.17,127,2018-11-02,21:00
0.19,127,2018-11-02,22:00
0.2,127,2018-11-02,23:00
